"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"624",NA,4,3,5,5,16
"625",2,2,2,4,3,2
"626",2,5,3,5,5,1
"627",1,4,2,6,6,9
"628",1,3,4,6,6,18
"629",2,2,2,2,2,23
"630",2,5,4,7,7,14
"631",1,2,2,4,4,17
"632",1,4,2,2,2,8
"633",1,5,2,6,6,1
"634",1,4,2,3,3,12
"635",1,4,5,7,7,12
"636",1,4,1,NA,NA,1
"637",1,6,2,1,1,2
"638",2,2,2,4,NA,0
"639",2,2,2,3,3,15
"640",1,4,2,7,7,2
"641",1,4,1,NA,NA,4
"642",2,2,3,1,1,4
"643",1,2,5,7,7,30
"644",1,2,4,3,NA,7
"645",2,3,3,3,4,2
"646",1,4,3,4,NA,18
"647",1,2,3,2,2,24
"648",1,2,4,5,6,4
"649",2,3,4,5,5,11
"650",1,3,3,3,3,0
"651",1,2,3,1,1,7
"652",2,3,1,2,NA,16
"653",1,3,3,NA,NA,9
"654",1,4,2,7,7,2
"655",1,4,4,2,2,17
"656",1,2,4,5,5,14
"657",2,4,2,7,7,8
"658",1,3,5,7,7,13
"659",1,2,3,3,3,7
"660",2,4,3,4,4,13
"661",1,2,5,2,2,9
"662",1,2,2,3,3,1
"663",1,6,2,7,7,19
"664",1,5,3,1,2,11
"665",2,3,4,NA,7,11
"666",1,2,1,2,2,7
"667",1,3,1,2,2,5
"668",1,3,3,2,2,3
"669",2,3,4,3,3,21
"670",1,2,5,3,3,24
"671",1,2,3,4,4,9
"672",1,4,3,3,3,14
"673",1,3,4,2,2,3
"674",2,2,4,5,4,26
"675",1,2,5,4,4,18
"676",1,5,3,7,7,8
"677",2,2,2,6,6,8
"678",2,3,3,4,4,19
"679",2,3,4,6,6,4
"680",1,4,2,2,2,6
"681",2,4,2,4,4,2
"682",1,2,2,3,3,8
"683",2,3,4,7,4,3
"684",1,4,6,NA,7,15
"685",1,6,2,6,6,19
"686",1,2,1,NA,7,1
"687",1,3,3,4,4,9
"688",2,4,2,5,5,14
"689",1,4,4,NA,NA,5
"690",2,4,4,2,2,8
"691",1,4,2,NA,7,5
"692",1,3,4,1,1,2
"693",1,3,1,2,2,1
"694",1,4,3,5,5,18
